Title,Author,Genre,Tone,Pace,Protagonist,Ending,Action/Dev,Romance,Twist,Supernatural,Setting,Length,Style,Theme
Foundation,Isaac Asimov,Narrative Nonfiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction
Ficciones,Jorge Luis Borges,Fiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction
Dracula,Bram Stoker,Narrative Nonfiction,Dramatic,Slow,NA,NA,Character development,A lot,Predictable,Neutral,Historical,Long (500-700 pages),Conversational,Science Fiction
The Last Man,Mary Shelley,Narrative Nonfiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction
Beloved,Toni Morrison,Narrative Nonfiction,NA,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Science Fiction
The Time Machine,H. G. Wells,Fiction,NA,NA,NA,NA,Action,NA,NA,NA,Historical,NA,NA,Science Fiction
The Invisible Man,H. G. Wells,Narrative Nonfiction,NA,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Science Fiction
Dune,Frank Herbert,Narrative Nonfiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction
A Room of One's Own,Virginia Woolf,Legend,Lyrical,Slow,NA,NA,Character development,A lot,Predictable,Neutral,Futuristic / Sci-Fi Worlds,Long (500-700 pages),Concise & Straightforward,Grief / Loss
Kim,Rudyard Kipling,Narrative Nonfiction,NA,NA,NA,NA,Action,NA,NA,NA,Historical,NA,NA,Science Fiction
The Riddle of the Sands,Erskine Childers,Fiction,NA,NA,NA,NA,Action,NA,NA,NA,NA,NA,NA,Adventure
The Picture of Dorian Gray,Oscar Wilde,Fiction,Dramatic,NA,NA,NA,Character development,NA,NA,NA,Historical,NA,Experimental or Non-Linear,Fantasy
The Great God Pan,Arthur Machen,Horror,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Horror
The Scarlet Pimpernel,"Emmuska Orczy, Baroness Orczy",Fiction,NA,Fast,NA,NA,Action,NA,NA,NA,Historical,NA,NA,Adventure
Flatland,Edwin Abbott Abbott,Fiction,Dramatic,NA,NA,NA,Action,NA,NA,NA,Historical,NA,NA,Science Fiction
The blue castle,Lucy Maud Montgomery,Fiction,NA,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Friendship
The Awakening,Kate Chopin,Fiction,NA,NA,NA,NA,Action,NA,NA,NA,NA,NA,NA,Science Fiction
Dubliners,James Joyce,Narrative Nonfiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction
The War of the Worlds,H. G. Wells,Fiction,NA,NA,NA,NA,Action,NA,NA,NA,NA,NA,NA,Science Fiction
Of Human Bondage,William Somerset Maugham,Fiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coming of Age
The Martian Chronicles,Ray Bradbury,Science Fiction,Dramatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction
Lilith,George MacDonald,Fantasy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fantasy
The Sign of Four,Arthur Conan Doyle,Mystery,NA,NA,NA,NA,Action,NA,NA,NA,NA,NA,NA,Science Fiction
Persuasion,Jane Austen,Fiction,NA,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Historical
The Scarlet Letter,Nathaniel Hawthorne,Narrative Nonfiction,Dramatic,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Science Fiction
This Side of Paradise,F. Scott Fitzgerald,Narrative Nonfiction,NA,Fast,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Science Fiction
The Adventures of Tom Sawyer,Mark Twain,Historical Fiction,NA,NA,NA,NA,Action,NA,NA,NA,Historical,NA,NA,Adventure
The Sea Fairies,L. Frank Baum,Fiction,NA,NA,NA,NA,NA,NA,NA,NA,Fantasy Realms,NA,NA,Science Fiction
The First Men in the Moon,H. G. Wells,Narrative Nonfiction,NA,NA,NA,NA,Action,NA,NA,NA,NA,NA,NA,Science Fiction
Fahrenheit 451,Ray Bradbury,Science Fiction,Dramatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction
The Lost World,Arthur Conan Doyle,Mystery,NA,NA,NA,NA,Action,NA,NA,NA,Fantasy Realms,NA,NA,Adventure
Wuthering Heights,Emily Bronte?,Fiction,Dramatic,NA,NA,NA,NA,NA,NA,Love them,Historical,NA,NA,Science Fiction
The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,Mystery,Dark,NA,NA,NA,Action,NA,NA,NA,Historical,NA,NA,Mystery / Thriller
The Book of Dragons,Edith Nesbit,Fiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction
The Good Earth,Pearl S. Buck,Fiction,NA,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Historical
Sense and Sensibility,Jane Austen,Fiction,Dramatic,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Historical
Poetics,Aristotle,Poetry,Dramatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Moonstone,Wilkie Collins,Narrative Nonfiction,Dramatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction
"The Alchemist, 1612",Ben Jonson,Drama,Dramatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction
Daddy-Long-Legs,Jean Webster,Fiction,Dramatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction
White Fang,Jack London,Fiction,NA,NA,NA,NA,Action,NA,NA,NA,Historical,NA,NA,Adventure
A Room with a View,Edward Morgan Forster,Narrative Nonfiction,NA,NA,NA,NA,NA,NA,NA,Love them,Historical,NA,NA,Science Fiction
The Jungle,Upton Sinclair,Narrative Nonfiction,NA,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Science Fiction
Emma,Jane Austen,Narrative Nonfiction,NA,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Science Fiction
Anthem,Ayn Rand,Narrative Nonfiction,NA,NA,NA,NA,Character development,NA,NA,NA,Historical,NA,Experimental or Non-Linear,Science Fiction
The Mysterious Affair at Styles,Agatha Christie,Narrative Nonfiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction
The King in Yellow,Robert W. Chambers,Narrative Nonfiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction
Anna Karenina,??? ???????,Narrative Nonfiction,Dramatic,NA,NA,Sad,NA,NA,NA,Love them,Historical,NA,NA,Science Fiction
Frankenstein or The Modern Prometheus,Mary Shelley,Narrative Nonfiction,Dramatic,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Science Fiction
The Castle of Otranto,Horace Walpole,Fantasy,NA,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Fantasy
Pride and Prejudice,Jane Austen,Fiction,Dramatic,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Historical
Great Expectations,Charles Dickens,Fiction,Dramatic,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Coming of Age
The Red Badge of Courage,Stephen Crane,Comic,Romantic,Fast,NA,NA,NA,NA,NA,NA,Historical,NA,Concise & Straightforward,Coming of Age
The Mystery of the Blue Train,Agatha Christie,Mystery,NA,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Science Fiction
Nineteen Eighty-Four,George Orwell,Science Fiction,Dramatic,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Historical
Eva Luna,Isabel Allende,Fiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction
The Hunger Games,Suzanne Collins,Science Fiction,Romantic,NA,NA,NA,Action,NA,NA,NA,NA,NA,NA,Science Fiction
A Study in Scarlet,Arthur Conan Doyle,Fiction,NA,NA,NA,NA,Action,NA,NA,NA,NA,NA,NA,Adventure
The Call of the Wild,Jack London,Comic,NA,NA,NA,NA,Action,NA,NA,NA,Historical,NA,NA,Adventure
The Return of Sherlock Holmes,Arthur Conan Doyle,Mystery,NA,NA,NA,NA,Action,NA,NA,NA,NA,NA,NA,Science Fiction
Northern Lights,Philip Pullman,Fiction,NA,NA,NA,NA,Action,NA,NA,NA,Fantasy Realms,NA,NA,Adventure
Women in Love,D. H. Lawrence,Narrative Nonfiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Love / Romance
The Age of Innocence,Edith Wharton,Narrative Nonfiction,Dramatic,NA,NA,NA,NA,NA,NA,NA,Historical,Long (500-700 pages),NA,Science Fiction
His Last Bow [8 stories],Arthur Conan Doyle,Mystery,NA,NA,NA,NA,Action,NA,NA,NA,Historical,NA,NA,Science Fiction
The Kite Runner,Khaled Hosseini,Fiction,Dramatic,NA,NA,Sad,NA,NA,NA,Realistic,Historical,NA,NA,Friendship
La Poetica,Aristotle,Poetry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lolita,Vladimir Nabokov,Fiction,Dramatic,NA,NA,NA,NA,NA,NA,Love them,NA,NA,NA,Science Fiction
Treasure Island,Robert Louis Stevenson,Narrative Nonfiction,Suspenseful,NA,NA,NA,Action,NA,NA,NA,Fantasy Realms,NA,NA,Science Fiction
The Handmaid's Tale,Margaret Atwood,Fantasy,NA,NA,NA,NA,NA,NA,NA,Neutral,Dystopian / Post apocalyptic,NA,NA,Fantasy
Twilight,Stephenie Meyer,Fiction,NA,NA,NA,NA,Action,NA,NA,Love them,NA,NA,NA,Science Fiction
Adventures of Huckleberry Finn,Mark Twain,Fiction,NA,NA,NA,NA,Action,NA,NA,NA,Historical,NA,NA,Adventure
Pickwick Papers,Charles Dickens,Narrative Nonfiction,NA,NA,NA,NA,Character development,NA,NA,NA,Historical,NA,Experimental or Non-Linear,Science Fiction
A Princess of Mars,Edgar Rice Burroughs,Narrative Nonfiction,NA,NA,NA,NA,Action,NA,NA,NA,Fantasy Realms,NA,NA,Science Fiction
Ulysses,James Joyce,Narrative Nonfiction,NA,NA,NA,NA,Character development,NA,NA,NA,Historical,NA,Experimental or Non-Linear,Friendship
The Sun Also Rises,Ernest Hemingway,Fiction,NA,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Historical
Brood of the Witch-Queen,Sax Rohmer,Fantasy,NA,NA,NA,NA,NA,NA,NA,NA,Fantasy Realms,NA,NA,Fantasy
The Witches,Roald Dahl,Narrative Nonfiction,Dramatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction
Guess How Much I Love You,Sam McBratney,Narrative Nonfiction,Dramatic,NA,NA,NA,NA,NA,NA,Love them,NA,NA,NA,Science Fiction
Matilda,Roald Dahl,Fiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction
An American Tragedy,Theodore Dreiser,Narrative Nonfiction,NA,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Science Fiction
The Pearl,John Steinbeck,Narrative Nonfiction,NA,NA,NA,NA,Character development,NA,NA,NA,Historical,NA,Experimental or Non-Linear,Family Dynamics
Middlemarch,George Eliot,Narrative Nonfiction,NA,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Science Fiction
Catch-22,Joseph Heller,Narrative Nonfiction,Dramatic,Fast,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Science Fiction
The Bell Jar,Sylvia Plath,Poetry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction
The Tale of Peter Rabbit,Beatrix Potter,Fiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adventure
Far From the Madding Crowd,Thomas Hardy,Narrative Nonfiction,NA,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Science Fiction
The Lost Symbol,Dan Brown,Historical Fiction,NA,NA,NA,NA,Action,NA,NA,NA,Historical,NA,NA,Historical
One Flew Over the Cuckoo's Nest,Ken Kesey,Narrative Nonfiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction
Memoirs of Sherlock Holmes [11 stories],Arthur Conan Doyle,Mystery,NA,NA,NA,NA,Action,NA,NA,NA,NA,NA,NA,Science Fiction
The Island of Dr. Moreau,H. G. Wells,Narrative Nonfiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Survival
Animal Farm,George Orwell,Fiction,Dramatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction
Ender's Game,Orson Scott Card,Science Fiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction
Bridge to Terabithia,Katherine Paterson,Narrative Nonfiction,NA,NA,NA,NA,NA,NA,NA,NA,Fantasy Realms,NA,NA,Science Fiction
The Portrait of a Lady,Henry James,Narrative Nonfiction,NA,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Science Fiction
