Title,Author,Genre,Tone,Pace,Protagonist,Ending,Action/Dev,Romance,Twist,Supernatural,Setting,Length,Style,Theme
Foundation,Isaac Asimov,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction / Fantasy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction / Fantasy
Ficciones,Jorge Luis Borges,Fiction / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse,NA,NA,NA,NA,NA,NA,NA,NA,NA,Short (150-300 pages),NA,Science Fiction
Dracula,Bram Stoker,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction / Horror / Comic / Fantasy / Drama / Legend / Fairy Tale / Folklore / Tall Tale / Fable / mythology,Dramatic / Lyrical / Uplifting / Playful / Hopeful / Suspenseful / Cynical / Whimsical / Reflective,Slow,NA,NA,Character development / Action,A lot / A little,Predictable,Neutral / Realistic / Occasionally / Love them,Historical / Futuristic / Sci-Fi Worlds / depends on the plot / Dystopian / Post apocalyptic / Fantasy Realms / Nature-based / Wilderness Adventure / Small towns or close-knit communities / Big cities / Urban Life / Otherworldly / Parallel Universes,Medium (300-500 pages),Conversational / Satirical or Witty / Descriptive & Lush / Experimental or Non-Linear / Reflective & Thoughtful / Flowery & Poetic,Science Fiction / Horror / Mystery / Thriller / Fantasy / Historical / Grief / Loss / Justice / Law / Survival / Social Issues / Inspiration from Athletes / Faith / Spiritually / Political / Philosophical / Love / Romance / Family Dynamics / Adventure
The Last Man,Mary Shelley,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction / Fantasy,NA,NA,NA,NA,NA,NA,NA,NA,NA,Long (500-700 pages),NA,Science Fiction / Fantasy
Beloved,Toni Morrison,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction,NA,NA,NA,NA,NA,NA,NA,NA,Historical,Medium (300-500 pages),NA,Science Fiction / Historical
The Time Machine,H. G. Wells,Fiction / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Comic / Fantasy,NA,NA,NA,NA,Action,NA,NA,NA,Historical,NA,NA,Science Fiction / Adventure / Historical / Fantasy
The Invisible Man,H. G. Wells,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction / Fantasy / Mystery / Horror / Comic,NA,NA,NA,NA,NA,NA,NA,NA,Historical,Short (150-300 pages),NA,Science Fiction / Fantasy / Horror / Historical
Dune,Frank Herbert,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,Long (500-700 pages),NA,Science Fiction
A Room of One's Own,Virginia Woolf,Legend / Fairy Tale / Folklore / Historical Fiction / Tall Tale / realistic fiction / Fable / mythology / Narrative Nonfiction / Science Fiction / nonfiction / Fiction in Verse / Fiction,Lyrical / Uplifting / Playful / Hopeful / Suspenseful / Cynical / Whimsical / Reflective,Slow,NA,NA,Character development,A lot / A little,Predictable,Neutral / Realistic / Occasionally / Love them,Futuristic / Sci-Fi Worlds / depends on the plot / Dystopian / Post apocalyptic / Fantasy Realms / Nature-based / Wilderness Adventure / Small towns or close-knit communities / Historical / Big cities / Urban Life / Otherworldly / Parallel Universes,NA,Concise & Straightforward / Conversational / Satirical or Witty / Descriptive & Lush / Experimental or Non-Linear / Reflective & Thoughtful / Flowery & Poetic,Grief / Loss / Justice / Law / Survival / Social Issues / Inspiration from Athletes / Mystery / Thriller / Faith / Spiritually / Political / Philosophical / Historical / Love / Romance / Family Dynamics / Science Fiction
Kim,Rudyard Kipling,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction,NA,NA,NA,NA,Action,NA,NA,NA,Historical,Short (150-300 pages),NA,Science Fiction / Adventure / Historical
